suite_size,killed_111,score_111,killed_1,score_1
16,165,66.2651,7,2.81125
15,182,73.0924,14,5.62249
13,114,45.7831,1,0.401606
14,165,66.2651,9,3.61446
13,160,64.257,7,2.81125
22,162,65.0602,13,5.22088
14,173,69.4779,12,4.81928
19,162,65.0602,8,3.21285
18,182,73.0924,12,4.81928
24,116,46.5863,1,0.401606
16,168,67.4699,10,4.01606
17,161,64.6586,7,2.81125
22,155,62.249,10,4.01606
11,155,62.249,7,2.81125
22,180,72.2892,12,4.81928
20,181,72.6908,14,5.62249
21,180,72.2892,12,4.81928
15,179,71.8876,12,4.81928
21,181,72.6908,12,4.81928
20,182,73.0924,12,4.81928
18,180,72.2892,13,5.22088
25,177,71.0843,10,4.01606
15,158,63.4538,8,3.21285
23,169,67.8715,13,5.22088
19,182,73.0924,13,5.22088
14,153,61.4458,10,4.01606
13,169,67.8715,11,4.41767
17,179,71.8876,12,4.81928
16,163,65.4619,8,3.21285
16,153,61.4458,9,3.61446
14,165,66.2651,11,4.41767
25,181,72.6908,12,4.81928
22,146,58.6345,7,2.81125
21,165,66.2651,10,4.01606
21,187,75.1004,17,6.82731
17,169,67.8715,11,4.41767
18,148,59.4378,7,2.81125
20,152,61.0442,7,2.81125
19,157,63.0522,7,2.81125
21,173,69.4779,11,4.41767
