suite_size,killed_111,score_111,killed_1,score_1
7,172,69.0763,12,4.81928
6,183,73.494,17,6.82731
8,183,73.494,13,5.22088
4,176,70.6827,13,5.22088
11,186,74.6988,14,5.62249
6,169,67.8715,12,4.81928
7,185,74.2972,14,5.62249
10,182,73.0924,13,5.22088
7,184,73.8956,14,5.62249
7,186,74.6988,13,5.22088
7,180,72.2892,14,5.62249
6,179,71.8876,13,5.22088
9,180,72.2892,13,5.22088
8,185,74.2972,13,5.22088
5,178,71.4859,13,5.22088
9,180,72.2892,15,6.0241
7,172,69.0763,13,5.22088
5,189,75.9036,16,6.4257
4,187,75.1004,16,6.4257
7,184,73.8956,15,6.0241
5,186,74.6988,16,6.4257
8,188,75.502,16,6.4257
6,184,73.8956,14,5.62249
8,186,74.6988,16,6.4257
6,184,73.8956,14,5.62249
7,185,74.2972,14,5.62249
7,190,76.3052,16,6.4257
9,184,73.8956,14,5.62249
7,189,75.9036,16,6.4257
9,183,73.494,14,5.62249
6,184,73.8956,14,5.62249
5,180,72.2892,17,6.82731
6,174,69.8795,14,5.62249
7,185,74.2972,16,6.4257
8,185,74.2972,14,5.62249
9,180,72.2892,13,5.22088
5,187,75.1004,17,6.82731
7,177,71.0843,14,5.62249
6,178,71.4859,13,5.22088
9,181,72.6908,13,5.22088
