suite_size,killed_111,score_111,killed_1,score_1
15,185,74.2972,14,5.62249
10,185,74.2972,14,5.62249
11,191,76.7068,14,5.62249
10,188,75.502,14,5.62249
7,191,76.7068,17,6.82731
9,184,73.8956,15,6.0241
12,191,76.7068,17,6.82731
11,193,77.51,17,6.82731
13,185,74.2972,14,5.62249
8,187,75.1004,15,6.0241
9,186,74.6988,14,5.62249
10,187,75.1004,15,6.0241
10,191,76.7068,17,6.82731
11,187,75.1004,15,6.0241
10,190,76.3052,17,6.82731
9,186,74.6988,15,6.0241
9,180,72.2892,14,5.62249
7,188,75.502,14,5.62249
14,184,73.8956,15,6.0241
10,184,73.8956,14,5.62249
10,184,73.8956,15,6.0241
9,184,73.8956,15,6.0241
7,183,73.494,14,5.62249
11,185,74.2972,15,6.0241
8,192,77.1084,17,6.82731
8,190,76.3052,17,6.82731
12,188,75.502,17,6.82731
9,191,76.7068,17,6.82731
15,189,75.9036,17,6.82731
8,189,75.9036,17,6.82731
8,193,77.51,17,6.82731
6,183,73.494,14,5.62249
10,191,76.7068,17,6.82731
9,191,76.7068,17,6.82731
11,188,75.502,15,6.0241
10,181,72.6908,14,5.62249
10,185,74.2972,14,5.62249
7,182,73.0924,14,5.62249
8,190,76.3052,17,6.82731
10,188,75.502,14,5.62249
