suite_size,killed_111,score_111,killed_1,score_1
8,183,73.494,14,5.62249
12,183,73.494,14,5.62249
8,183,73.494,13,5.22088
10,181,72.6908,13,5.22088
9,179,71.8876,13,5.22088
9,187,75.1004,17,6.82731
7,181,72.6908,13,5.22088
6,189,75.9036,16,6.4257
6,191,76.7068,16,6.4257
5,175,70.2811,13,5.22088
10,177,71.0843,13,5.22088
8,187,75.1004,16,6.4257
7,184,73.8956,17,6.82731
5,186,74.6988,16,6.4257
10,188,75.502,17,6.82731
5,180,72.2892,13,5.22088
5,179,71.8876,17,6.82731
11,185,74.2972,13,5.22088
11,191,76.7068,16,6.4257
7,184,73.8956,15,6.0241
10,178,71.4859,15,6.0241
6,173,69.4779,14,5.62249
8,187,75.1004,15,6.0241
12,191,76.7068,17,6.82731
4,171,68.6747,13,5.22088
7,184,73.8956,15,6.0241
4,185,74.2972,17,6.82731
6,177,71.0843,13,5.22088
4,184,73.8956,14,5.62249
6,190,76.3052,16,6.4257
6,190,76.3052,16,6.4257
6,181,72.6908,13,5.22088
6,177,71.0843,14,5.62249
6,172,69.0763,14,5.62249
7,184,73.8956,16,6.4257
4,176,70.6827,13,5.22088
3,180,72.2892,14,5.62249
5,178,71.4859,13,5.22088
4,180,72.2892,13,5.22088
4,184,73.8956,17,6.82731
