suite_size,killed_111,score_111,killed_1,score_1
9,191,76.7068,17,6.82731
9,184,73.8956,15,6.0241
13,190,76.3052,14,5.62249
11,187,75.1004,15,6.0241
14,188,75.502,14,5.62249
11,193,77.51,17,6.82731
12,190,76.3052,17,6.82731
10,191,76.7068,17,6.82731
9,191,76.7068,17,6.82731
9,187,75.1004,14,5.62249
12,184,73.8956,14,5.62249
10,189,75.9036,17,6.82731
10,184,73.8956,14,5.62249
11,185,74.2972,14,5.62249
7,186,74.6988,14,5.62249
10,185,74.2972,15,6.0241
12,190,76.3052,17,6.82731
10,183,73.494,14,5.62249
9,187,75.1004,14,5.62249
12,186,74.6988,15,6.0241
10,191,76.7068,17,6.82731
11,183,73.494,14,5.62249
9,182,73.0924,14,5.62249
12,184,73.8956,14,5.62249
10,187,75.1004,14,5.62249
7,184,73.8956,14,5.62249
6,182,73.0924,14,5.62249
12,185,74.2972,15,6.0241
6,183,73.494,15,6.0241
12,187,75.1004,15,6.0241
11,191,76.7068,17,6.82731
14,188,75.502,14,5.62249
11,183,73.494,14,5.62249
10,185,74.2972,15,6.0241
11,183,73.494,15,6.0241
7,188,75.502,17,6.82731
9,188,75.502,17,6.82731
11,192,77.1084,17,6.82731
8,185,74.2972,14,5.62249
11,184,73.8956,14,5.62249
