criterion,suite_size,score_111,score_1,obc,killed_111,killed_1
mcdc,18.18,66.56,4.01,,165.72,9.98
obc_o0_J,8.12,73.48,5.58,97.97,182.98,13.9
obc_o0_JSMB,11.18,75.86,6.55,77.14,188.9,16.3
obc_o1_J,7.0,73.19,5.73,75.34,182.25,14.28
obc_o1_JSMB,9.78,75.2,6.17,71.1,187.25,15.38
obc_o2_J,7.3,73.47,5.67,75.34,182.95,14.12
obc_o2_JSMB,10.3,75.36,6.06,71.1,187.65,15.1
obc_o3_J,6.8,73.63,5.84,75.34,183.35,14.55
obc_o3_JSMB,10.8,75.12,6.1,71.1,187.05,15.2
obc_os_J,6.92,73.24,5.89,75.34,182.38,14.68
obc_os_JSMB,10.2,74.96,6.07,71.1,186.65,15.12
