suite_size,killed_111,score_111,killed_1,score_1
12,160,64.257,7,2.81125
17,165,66.2651,12,4.81928
20,161,64.6586,7,2.81125
14,137,55.0201,5,2.00803
16,168,67.4699,12,4.81928
21,158,63.4538,7,2.81125
17,164,65.8635,10,4.01606
26,182,73.0924,12,4.81928
15,166,66.6667,9,3.61446
19,176,70.6827,11,4.41767
16,179,71.8876,12,4.81928
15,150,60.241,5,2.00803
18,175,70.2811,12,4.81928
18,184,73.8956,14,5.62249
18,171,68.6747,9,3.61446
19,177,71.0843,13,5.22088
17,159,63.8554,9,3.61446
15,156,62.6506,7,2.81125
15,160,64.257,9,3.61446
14,125,50.2008,2,0.803213
20,153,61.4458,10,4.01606
23,186,74.6988,14,5.62249
14,135,54.2169,5,2.00803
18,177,71.0843,10,4.01606
20,175,70.2811,13,5.22088
13,137,55.0201,5,2.00803
18,146,58.6345,7,2.81125
19,171,68.6747,10,4.01606
16,152,61.0442,7,2.81125
21,174,69.8795,10,4.01606
18,181,72.6908,13,5.22088
18,146,58.6345,7,2.81125
19,177,71.0843,13,5.22088
19,168,67.4699,10,4.01606
22,184,73.8956,14,5.62249
18,164,65.8635,10,4.01606
13,137,55.0201,5,2.00803
17,184,73.8956,15,6.0241
16,161,64.6586,12,4.81928
21,179,71.8876,12,4.81928
