suite_size,killed_111,score_111,killed_1,score_1
4,184,73.8956,16,6.4257
4,165,66.2651,7,2.81125
4,150,60.241,5,2.00803
4,186,74.6988,14,5.62249
4,178,71.4859,12,4.81928
5,156,62.6506,9,3.61446
2,165,66.2651,7,2.81125
4,156,62.6506,9,3.61446
5,176,70.6827,13,5.22088
8,158,63.4538,7,2.81125
5,163,65.4619,10,4.01606
5,183,73.494,13,5.22088
3,153,61.4458,8,3.21285
3,160,64.257,9,3.61446
6,177,71.0843,12,4.81928
4,161,64.6586,9,3.61446
6,171,68.6747,12,4.81928
4,150,60.241,6,2.40964
3,155,62.249,7,2.81125
6,177,71.0843,12,4.81928
7,160,64.257,8,3.21285
7,186,74.6988,16,6.4257
4,166,66.6667,7,2.81125
6,169,67.8715,12,4.81928
2,164,65.8635,11,4.41767
6,184,73.8956,14,5.62249
3,160,64.257,11,4.41767
4,173,69.4779,13,5.22088
2,155,62.249,10,4.01606
5,178,71.4859,12,4.81928
6,160,64.257,9,3.61446
6,173,69.4779,12,4.81928
5,170,68.2731,11,4.41767
7,158,63.4538,9,3.61446
5,166,66.6667,10,4.01606
4,156,62.6506,9,3.61446
4,152,61.0442,7,2.81125
5,175,70.2811,12,4.81928
5,169,67.8715,11,4.41767
5,159,63.8554,10,4.01606
