suite_size,killed_111,score_111,killed_1,score_1
1,109,43.7751,1,0.401606
3,100,40.1606,1,0.401606
3,118,47.3896,1,0.401606
3,85,34.1365,1,0.401606
3,148,59.4378,9,3.61446
2,117,46.988,3,1.20482
3,147,59.0361,7,2.81125
1,143,57.4297,7,2.81125
2,122,48.996,1,0.401606
3,119,47.7912,1,0.401606
3,154,61.8474,9,3.61446
3,154,61.8474,9,3.61446
3,115,46.1847,1,0.401606
3,76,30.5221,1,0.401606
2,84,33.7349,1,0.401606
2,139,55.8233,1,0.401606
2,134,53.8153,4,1.60643
3,85,34.1365,1,0.401606
3,93,37.3494,1,0.401606
3,127,51.004,5,2.00803
4,115,46.1847,1,0.401606
3,96,38.5542,1,0.401606
2,83,33.3333,1,0.401606
2,85,34.1365,1,0.401606
3,119,47.7912,1,0.401606
3,122,48.996,1,0.401606
3,142,57.0281,8,3.21285
2,153,61.4458,9,3.61446
3,147,59.0361,7,2.81125
2,118,47.3896,1,0.401606
3,106,42.5703,1,0.401606
2,118,47.3896,3,1.20482
2,148,59.4378,8,3.21285
2,116,46.5863,2,0.803213
3,120,48.1928,1,0.401606
3,102,40.9639,1,0.401606
2,113,45.3815,1,0.401606
2,145,58.2329,6,2.40964
3,121,48.5944,1,0.401606
5,114,45.7831,1,0.401606
