suite_size,killed_111,score_111,killed_1,score_1
2,140,56.2249,6,2.40964
4,160,64.257,10,4.01606
4,97,38.9558,1,0.401606
3,145,58.2329,6,2.40964
2,142,57.0281,7,2.81125
3,131,52.6104,5,2.00803
2,130,52.2088,4,1.60643
2,85,34.1365,1,0.401606
3,118,47.3896,1,0.401606
4,145,58.2329,6,2.40964
2,117,46.988,5,2.00803
3,153,61.4458,8,3.21285
3,89,35.743,1,0.401606
1,132,53.012,6,2.40964
3,167,67.0683,7,2.81125
2,98,39.3574,1,0.401606
2,118,47.3896,1,0.401606
3,121,48.5944,1,0.401606
5,86,34.5382,1,0.401606
2,114,45.7831,2,0.803213
3,172,69.0763,9,3.61446
3,160,64.257,11,4.41767
3,137,55.0201,5,2.00803
2,71,28.5141,1,0.401606
3,151,60.6426,7,2.81125
2,134,53.8153,1,0.401606
4,127,51.004,3,1.20482
2,116,46.5863,1,0.401606
3,84,33.7349,1,0.401606
4,138,55.4217,6,2.40964
3,166,66.6667,11,4.41767
3,180,72.2892,14,5.62249
4,99,39.759,1,0.401606
2,115,46.1847,2,0.803213
4,165,66.2651,7,2.81125
2,131,52.6104,4,1.60643
3,128,51.4056,5,2.00803
2,131,52.6104,6,2.40964
3,84,33.7349,1,0.401606
2,125,50.2008,6,2.40964
