suite_size,killed_111,score_111,killed_1,score_1
6,170,68.2731,12,4.81928
7,170,68.2731,10,4.01606
6,172,69.0763,11,4.41767
7,176,70.6827,12,4.81928
6,172,69.0763,13,5.22088
5,180,72.2892,13,5.22088
5,181,72.6908,12,4.81928
6,174,69.8795,12,4.81928
6,184,73.8956,13,5.22088
5,183,73.494,17,6.82731
6,177,71.0843,14,5.62249
4,172,69.0763,14,5.62249
7,189,75.9036,16,6.4257
8,178,71.4859,11,4.41767
2,159,63.8554,11,4.41767
4,165,66.2651,11,4.41767
5,176,70.6827,16,6.4257
8,178,71.4859,12,4.81928
6,163,65.4619,12,4.81928
6,167,67.0683,11,4.41767
8,169,67.8715,12,4.81928
3,169,67.8715,13,5.22088
5,185,74.2972,16,6.4257
5,180,72.2892,17,6.82731
5,166,66.6667,11,4.41767
7,174,69.8795,11,4.41767
4,167,67.0683,12,4.81928
3,178,71.4859,14,5.62249
5,170,68.2731,12,4.81928
4,182,73.0924,12,4.81928
5,163,65.4619,10,4.01606
4,173,69.4779,14,5.62249
8,188,75.502,16,6.4257
6,162,65.0602,12,4.81928
6,173,69.4779,12,4.81928
5,171,68.6747,12,4.81928
6,169,67.8715,9,3.61446
5,180,72.2892,12,4.81928
4,172,69.0763,11,4.41767
7,176,70.6827,16,6.4257
