criterion,suite_size,score_111,score_1,obc,killed_111,killed_1
mcdc,17.62,65.86,3.88,,164.0,9.65
obc_o0_J,8.1,73.73,5.78,97.97,183.6,14.4
obc_o0_JSMB,10.85,75.54,6.19,77.78,188.1,15.42
obc_o1_J,2.78,50.97,1.79,85.71,126.92,4.45
obc_o1_JSMB,5.9,71.36,5.21,42.68,177.68,12.98
obc_o2_J,2.88,49.99,1.78,77.78,124.48,4.42
obc_o2_JSMB,4.68,66.84,4.13,36.3,166.42,10.28
obc_o3_J,2.62,47.71,1.21,77.78,118.8,3.02
obc_o3_JSMB,4.7,66.55,4.14,36.3,165.7,10.3
obc_os_J,2.8,51.22,1.83,77.78,127.55,4.55
obc_os_JSMB,5.5,69.81,5.09,43.84,173.82,12.68
