suite_size,killed_111,score_111,killed_1,score_1
19,157,63.0522,7,2.81125
15,173,69.4779,13,5.22088
20,175,70.2811,11,4.41767
16,163,65.4619,8,3.21285
13,186,74.6988,13,5.22088
19,156,62.6506,10,4.01606
18,158,63.4538,7,2.81125
24,157,63.0522,7,2.81125
18,152,61.0442,8,3.21285
19,156,62.6506,7,2.81125
17,160,64.257,7,2.81125
20,183,73.494,13,5.22088
11,167,67.0683,11,4.41767
17,173,69.4779,10,4.01606
17,185,74.2972,13,5.22088
14,165,66.2651,7,2.81125
16,160,64.257,7,2.81125
26,165,66.2651,13,5.22088
15,156,62.6506,9,3.61446
22,181,72.6908,13,5.22088
15,176,70.6827,10,4.01606
11,168,67.4699,10,4.01606
18,163,65.4619,11,4.41767
19,157,63.0522,8,3.21285
18,179,71.8876,13,5.22088
21,171,68.6747,9,3.61446
17,186,74.6988,14,5.62249
16,177,71.0843,13,5.22088
19,160,64.257,9,3.61446
16,158,63.4538,9,3.61446
21,177,71.0843,12,4.81928
21,176,70.6827,13,5.22088
21,179,71.8876,10,4.01606
16,147,59.0361,7,2.81125
18,164,65.8635,10,4.01606
16,186,74.6988,17,6.82731
14,170,68.2731,10,4.01606
20,162,65.0602,7,2.81125
19,185,74.2972,15,6.0241
21,176,70.6827,10,4.01606
