suite_size,killed_111,score_111,killed_1,score_1
14,184,73.8956,14,5.62249
13,188,75.502,14,5.62249
10,191,76.7068,17,6.82731
11,183,73.494,15,6.0241
10,187,75.1004,14,5.62249
12,188,75.502,14,5.62249
11,190,76.3052,17,6.82731
11,188,75.502,14,5.62249
10,191,76.7068,17,6.82731
13,184,73.8956,14,5.62249
12,189,75.9036,14,5.62249
9,184,73.8956,15,6.0241
10,189,75.9036,17,6.82731
11,192,77.1084,17,6.82731
7,191,76.7068,17,6.82731
15,186,74.6988,14,5.62249
13,187,75.1004,14,5.62249
12,192,77.1084,17,6.82731
10,185,74.2972,15,6.0241
13,191,76.7068,17,6.82731
5,183,73.494,14,5.62249
11,185,74.2972,14,5.62249
11,185,74.2972,14,5.62249
11,185,74.2972,14,5.62249
9,189,75.9036,17,6.82731
11,191,76.7068,17,6.82731
11,185,74.2972,14,5.62249
12,190,76.3052,17,6.82731
9,186,74.6988,14,5.62249
11,186,74.6988,14,5.62249
12,189,75.9036,17,6.82731
14,187,75.1004,14,5.62249
13,185,74.2972,15,6.0241
15,191,76.7068,17,6.82731
11,185,74.2972,15,6.0241
14,191,76.7068,17,6.82731
14,188,75.502,15,6.0241
14,190,76.3052,17,6.82731
12,188,75.502,17,6.82731
10,190,76.3052,17,6.82731
