suite_size,killed_111,score_111,killed_1,score_1
6,178,71.4859,13,5.22088
8,180,72.2892,13,5.22088
6,188,75.502,16,6.4257
10,177,71.0843,12,4.81928
9,173,69.4779,12,4.81928
5,177,71.0843,13,5.22088
7,179,71.8876,13,5.22088
9,184,73.8956,13,5.22088
8,174,69.8795,12,4.81928
7,189,75.9036,16,6.4257
5,176,70.6827,14,5.62249
7,167,67.0683,8,3.21285
7,175,70.2811,12,4.81928
7,180,72.2892,12,4.81928
7,179,71.8876,13,5.22088
9,178,71.4859,14,5.62249
9,181,72.6908,12,4.81928
8,177,71.0843,13,5.22088
8,179,71.8876,14,5.62249
6,158,63.4538,7,2.81125
9,172,69.0763,9,3.61446
9,169,67.8715,10,4.01606
9,176,70.6827,12,4.81928
8,173,69.4779,11,4.41767
7,167,67.0683,10,4.01606
7,175,70.2811,10,4.01606
5,183,73.494,13,5.22088
8,173,69.4779,11,4.41767
9,162,65.0602,8,3.21285
6,181,72.6908,13,5.22088
8,186,74.6988,14,5.62249
6,167,67.0683,11,4.41767
7,179,71.8876,14,5.62249
9,165,66.2651,8,3.21285
8,183,73.494,16,6.4257
7,170,68.2731,13,5.22088
8,181,72.6908,11,4.41767
4,174,69.8795,11,4.41767
6,185,74.2972,16,6.4257
5,171,68.6747,9,3.61446
