suite_size,killed_111,score_111,killed_1,score_1
2,102,40.9639,1,0.401606
3,118,47.3896,1,0.401606
3,118,47.3896,1,0.401606
2,152,61.0442,7,2.81125
2,87,34.9398,1,0.401606
3,140,56.2249,1,0.401606
3,146,58.6345,6,2.40964
2,138,55.4217,6,2.40964
3,132,53.012,5,2.00803
3,167,67.0683,7,2.81125
2,156,62.6506,10,4.01606
2,166,66.6667,11,4.41767
3,123,49.3976,3,1.20482
1,143,57.4297,7,2.81125
6,119,47.7912,3,1.20482
2,135,54.2169,1,0.401606
2,151,60.6426,9,3.61446
3,134,53.8153,4,1.60643
4,107,42.9719,1,0.401606
3,131,52.6104,5,2.00803
3,122,48.996,1,0.401606
3,116,46.5863,2,0.803213
4,167,67.0683,7,2.81125
3,149,59.8394,7,2.81125
4,118,47.3896,1,0.401606
3,150,60.241,9,3.61446
4,148,59.4378,11,4.41767
3,135,54.2169,4,1.60643
2,125,50.2008,3,1.20482
2,124,49.7992,4,1.60643
3,91,36.5462,1,0.401606
4,92,36.9478,1,0.401606
2,139,55.8233,4,1.60643
1,94,37.751,1,0.401606
1,140,56.2249,7,2.81125
2,101,40.5622,1,0.401606
3,128,51.4056,3,1.20482
5,127,51.004,3,1.20482
1,153,61.4458,9,3.61446
3,94,37.751,1,0.401606
