suite_size,killed_111,score_111,killed_1,score_1
10,168,67.4699,12,4.81928
4,179,71.8876,13,5.22088
8,185,74.2972,13,5.22088
3,176,70.6827,13,5.22088
5,167,67.0683,12,4.81928
4,172,69.0763,12,4.81928
3,161,64.6586,12,4.81928
5,191,76.7068,16,6.4257
6,175,70.2811,13,5.22088
7,159,63.8554,13,5.22088
7,174,69.8795,14,5.62249
7,181,72.6908,14,5.62249
6,186,74.6988,17,6.82731
4,171,68.6747,12,4.81928
3,172,69.0763,13,5.22088
5,156,62.6506,13,5.22088
5,164,65.8635,12,4.81928
5,171,68.6747,12,4.81928
5,159,63.8554,11,4.41767
8,164,65.8635,12,4.81928
6,173,69.4779,12,4.81928
5,182,73.0924,12,4.81928
8,185,74.2972,13,5.22088
7,192,77.1084,17,6.82731
8,171,68.6747,13,5.22088
6,166,66.6667,12,4.81928
9,181,72.6908,12,4.81928
4,177,71.0843,13,5.22088
6,174,69.8795,13,5.22088
7,187,75.1004,17,6.82731
3,171,68.6747,12,4.81928
5,176,70.6827,12,4.81928
5,189,75.9036,16,6.4257
8,183,73.494,17,6.82731
8,162,65.0602,12,4.81928
5,184,73.8956,17,6.82731
4,175,70.2811,13,5.22088
6,181,72.6908,12,4.81928
7,173,69.4779,12,4.81928
7,173,69.4779,13,5.22088
