criterion,suite_size,score_111,score_1,obc,killed_111,killed_1
mcdc,17.82,67.72,4.13,,168.62,10.28
obc_o0_J,11.32,75.7,6.37,94.85,188.5,15.85
obc_o0_JSMB,11.42,75.39,6.19,77.76,187.72,15.42
obc_o1_J,5.35,67.01,4.47,55.77,166.85,11.12
obc_o1_JSMB,6.15,67.61,4.58,40.62,168.35,11.4
obc_o2_J,6.48,66.31,4.28,50.0,165.1,10.65
obc_o2_JSMB,6.62,68.2,4.55,41.33,169.82,11.32
obc_o3_J,7.32,70.69,4.84,46.51,176.02,12.05
obc_o3_JSMB,7.48,71.04,4.93,40.62,176.9,12.28
obc_os_J,2.75,51.99,1.71,40.0,129.45,4.25
obc_os_JSMB,5.85,70.14,5.31,33.33,174.65,13.22
