suite_size,killed_1442,score_1442,killed_11,score_11
43,162,65.0602,60,24.0964
36,156,62.6506,50,20.0803
42,157,63.0522,57,22.8916
41,159,63.8554,55,22.0884
34,146,58.6345,45,18.0723
40,165,66.2651,54,21.6867
33,157,63.0522,53,21.2851
39,161,64.6586,58,23.2932
37,156,62.6506,55,22.0884
38,155,62.249,50,20.0803
38,167,67.0683,58,23.2932
33,157,63.0522,52,20.8835
37,146,58.6345,43,17.2691
38,163,65.4619,58,23.2932
37,159,63.8554,61,24.498
42,156,62.6506,53,21.2851
35,164,65.8635,56,22.49
48,169,67.8715,55,22.0884
37,156,62.6506,50,20.0803
40,161,64.6586,61,24.498
41,168,67.4699,59,23.6948
37,156,62.6506,58,23.2932
40,163,65.4619,58,23.2932
37,159,63.8554,51,20.4819
36,164,65.8635,58,23.2932
34,155,62.249,48,19.2771
35,161,64.6586,59,23.6948
38,155,62.249,50,20.0803
38,161,64.6586,59,23.6948
36,159,63.8554,53,21.2851
36,161,64.6586,55,22.0884
36,158,63.4538,58,23.2932
37,160,64.257,53,21.2851
44,155,62.249,48,19.2771
39,164,65.8635,57,22.8916
42,160,64.257,59,23.6948
41,159,63.8554,57,22.8916
36,166,66.6667,57,22.8916
32,136,54.6185,30,12.0482
36,140,56.2249,34,13.6546
