suite_size,killed_1442,score_1442,killed_11,score_11
15,166,66.6667,62,24.8996
18,169,67.8715,64,25.7028
16,172,69.0763,66,26.506
14,171,68.6747,65,26.1044
21,167,67.0683,66,26.506
12,168,67.4699,59,23.6948
15,169,67.8715,65,26.1044
12,169,67.8715,63,25.3012
18,172,69.0763,61,24.498
13,166,66.6667,59,23.6948
10,164,65.8635,63,25.3012
15,165,66.2651,63,25.3012
10,169,67.8715,64,25.7028
14,170,68.2731,59,23.6948
14,164,65.8635,60,24.0964
15,168,67.4699,58,23.2932
12,170,68.2731,62,24.8996
12,162,65.0602,62,24.8996
11,164,65.8635,62,24.8996
16,169,67.8715,60,24.0964
16,169,67.8715,63,25.3012
16,167,67.0683,61,24.498
14,168,67.4699,60,24.0964
15,171,68.6747,65,26.1044
12,169,67.8715,61,24.498
10,167,67.0683,63,25.3012
17,166,66.6667,63,25.3012
11,166,66.6667,60,24.0964
14,167,67.0683,59,23.6948
13,167,67.0683,64,25.7028
15,164,65.8635,61,24.498
15,169,67.8715,67,26.9076
14,167,67.0683,64,25.7028
19,171,68.6747,60,24.0964
20,170,68.2731,63,25.3012
13,167,67.0683,65,26.1044
13,164,65.8635,60,24.0964
12,168,67.4699,64,25.7028
18,174,69.8795,65,26.1044
13,171,68.6747,62,24.8996
