suite_size,killed_1442,score_1442,killed_11,score_11
21,170,68.2731,62,24.8996
24,172,69.0763,62,24.8996
21,171,68.6747,66,26.506
24,172,69.0763,60,24.0964
20,174,69.8795,61,24.498
20,172,69.0763,63,25.3012
21,175,70.2811,67,26.9076
21,173,69.4779,65,26.1044
22,173,69.4779,62,24.8996
21,170,68.2731,57,22.8916
20,175,70.2811,64,25.7028
24,170,68.2731,62,24.8996
20,174,69.8795,61,24.498
23,173,69.4779,65,26.1044
23,174,69.8795,64,25.7028
24,172,69.0763,63,25.3012
18,173,69.4779,59,23.6948
24,173,69.4779,61,24.498
20,170,68.2731,63,25.3012
21,171,68.6747,67,26.9076
26,173,69.4779,65,26.1044
23,170,68.2731,64,25.7028
18,172,69.0763,61,24.498
22,173,69.4779,63,25.3012
21,174,69.8795,60,24.0964
24,172,69.0763,61,24.498
20,173,69.4779,64,25.7028
21,171,68.6747,62,24.8996
20,170,68.2731,63,25.3012
21,168,67.4699,63,25.3012
20,177,71.0843,63,25.3012
20,169,67.8715,61,24.498
23,170,68.2731,65,26.1044
25,171,68.6747,60,24.0964
21,173,69.4779,62,24.8996
19,174,69.8795,65,26.1044
20,169,67.8715,57,22.8916
27,172,69.0763,66,26.506
21,173,69.4779,64,25.7028
24,177,71.0843,66,26.506
