suite_size,killed_1442,score_1442,killed_11,score_11
16,168,67.4699,64,25.7028
16,169,67.8715,59,23.6948
12,167,67.0683,66,26.506
16,166,66.6667,62,24.8996
17,168,67.4699,61,24.498
14,168,67.4699,63,25.3012
15,171,68.6747,64,25.7028
16,167,67.0683,63,25.3012
17,167,67.0683,62,24.8996
16,175,70.2811,66,26.506
14,169,67.8715,64,25.7028
12,164,65.8635,61,24.498
19,174,69.8795,63,25.3012
14,162,65.0602,62,24.8996
15,167,67.0683,64,25.7028
16,171,68.6747,59,23.6948
14,170,68.2731,63,25.3012
16,170,68.2731,60,24.0964
14,165,66.2651,62,24.8996
11,172,69.0763,61,24.498
15,174,69.8795,66,26.506
13,169,67.8715,62,24.8996
15,163,65.4619,59,23.6948
12,168,67.4699,63,25.3012
14,165,66.2651,63,25.3012
11,167,67.0683,63,25.3012
11,173,69.4779,66,26.506
13,168,67.4699,63,25.3012
12,167,67.0683,60,24.0964
13,167,67.0683,64,25.7028
14,165,66.2651,64,25.7028
12,168,67.4699,64,25.7028
10,167,67.0683,58,23.2932
15,165,66.2651,59,23.6948
11,167,67.0683,61,24.498
13,168,67.4699,60,24.0964
16,168,67.4699,61,24.498
15,171,68.6747,61,24.498
13,170,68.2731,60,24.0964
11,166,66.6667,62,24.8996
