suite_size,killed_1442,score_1442,killed_11,score_11
24,172,69.0763,66,26.506
22,172,69.0763,62,24.8996
20,166,66.6667,59,23.6948
18,173,69.4779,62,24.8996
22,170,68.2731,65,26.1044
17,171,68.6747,62,24.8996
30,172,69.0763,64,25.7028
24,170,68.2731,65,26.1044
20,173,69.4779,61,24.498
22,171,68.6747,63,25.3012
22,170,68.2731,64,25.7028
21,174,69.8795,66,26.506
19,172,69.0763,62,24.8996
22,168,67.4699,59,23.6948
23,172,69.0763,65,26.1044
16,168,67.4699,57,22.8916
20,175,70.2811,66,26.506
15,173,69.4779,64,25.7028
24,172,69.0763,63,25.3012
18,169,67.8715,63,25.3012
25,174,69.8795,65,26.1044
23,170,68.2731,59,23.6948
18,173,69.4779,61,24.498
22,170,68.2731,63,25.3012
22,170,68.2731,58,23.2932
20,169,67.8715,61,24.498
31,173,69.4779,65,26.1044
23,171,68.6747,63,25.3012
27,171,68.6747,64,25.7028
28,172,69.0763,64,25.7028
19,174,69.8795,61,24.498
22,175,70.2811,62,24.8996
25,173,69.4779,63,25.3012
18,172,69.0763,60,24.0964
25,170,68.2731,57,22.8916
20,171,68.6747,62,24.8996
25,169,67.8715,62,24.8996
24,174,69.8795,66,26.506
18,170,68.2731,64,25.7028
21,171,68.6747,60,24.0964
