criterion,suite_size,score_1442,score_11,obc,killed_1442,killed_11
mcdc,37.98,63.57,21.54,,158.3,53.62
obc_o0_J,14.92,67.31,24.7,97.76,167.6,61.5
obc_o0_JSMB,23.95,68.9,25.17,87.81,171.55,62.68
obc_o1_J,14.32,67.43,25.03,92.88,167.9,62.32
obc_o1_JSMB,21.7,69.16,25.19,84.89,172.2,62.72
obc_o2_J,14.25,67.47,24.68,92.88,168.0,61.45
obc_o2_JSMB,22.1,69.11,24.99,84.89,172.08,62.22
obc_o3_J,13.68,67.47,24.54,92.88,168.0,61.1
obc_o3_JSMB,22.22,68.89,24.87,84.89,171.52,61.92
obc_os_J,13.98,67.53,24.98,92.88,168.15,62.2
obc_os_JSMB,21.88,68.83,25.08,84.89,171.38,62.45
