suite_size,killed_1442,score_1442,killed_11,score_11
43,158,63.4538,56,22.49
34,157,63.0522,61,24.498
36,162,65.0602,48,19.2771
38,160,64.257,59,23.6948
42,161,64.6586,60,24.0964
38,163,65.4619,56,22.49
38,158,63.4538,57,22.8916
44,159,63.8554,53,21.2851
38,161,64.6586,57,22.8916
36,163,65.4619,57,22.8916
38,156,62.6506,51,20.4819
34,166,66.6667,54,21.6867
43,159,63.8554,54,21.6867
42,159,63.8554,53,21.2851
38,158,63.4538,44,17.6707
35,161,64.6586,55,22.0884
47,172,69.0763,63,25.3012
36,155,62.249,52,20.8835
39,135,54.2169,35,14.0562
36,160,64.257,50,20.0803
37,160,64.257,51,20.4819
35,160,64.257,55,22.0884
41,163,65.4619,54,21.6867
39,158,63.4538,53,21.2851
44,166,66.6667,56,22.49
32,140,56.2249,36,14.4578
34,157,63.0522,53,21.2851
37,157,63.0522,55,22.0884
38,162,65.0602,45,18.0723
35,141,56.6265,37,14.8594
37,154,61.8474,47,18.8755
33,154,61.8474,50,20.0803
37,156,62.6506,47,18.8755
39,161,64.6586,52,20.8835
36,156,62.6506,45,18.0723
45,146,58.6345,42,16.8675
38,161,64.6586,55,22.0884
38,161,64.6586,57,22.8916
35,156,62.6506,52,20.8835
36,159,63.8554,52,20.8835
