suite_size,killed_1442,score_1442,killed_11,score_11
3,144,57.8313,56,22.49
5,154,61.8474,51,20.4819
2,150,60.241,49,19.6787
3,144,57.8313,46,18.4739
4,149,59.8394,50,20.0803
4,149,59.8394,47,18.8755
6,153,61.4458,56,22.49
2,135,54.2169,48,19.2771
6,149,59.8394,51,20.4819
6,148,59.4378,47,18.8755
7,153,61.4458,56,22.49
3,150,60.241,49,19.6787
4,143,57.4297,52,20.8835
4,147,59.0361,41,16.4659
6,148,59.4378,51,20.4819
4,138,55.4217,50,20.0803
5,143,57.4297,49,19.6787
3,138,55.4217,54,21.6867
7,153,61.4458,50,20.0803
2,150,60.241,50,20.0803
9,151,60.6426,54,21.6867
5,136,54.6185,50,20.0803
5,149,59.8394,55,22.0884
5,136,54.6185,50,20.0803
3,149,59.8394,51,20.4819
4,147,59.0361,52,20.8835
2,150,60.241,41,16.4659
2,135,54.2169,48,19.2771
6,158,63.4538,48,19.2771
4,154,61.8474,53,21.2851
6,150,60.241,52,20.8835
4,142,57.0281,47,18.8755
4,149,59.8394,54,21.6867
6,143,57.4297,50,20.0803
4,149,59.8394,47,18.8755
4,151,60.6426,42,16.8675
5,146,58.6345,49,19.6787
4,150,60.241,48,19.2771
5,156,62.6506,54,21.6867
4,147,59.0361,52,20.8835
