suite_size,killed_1442,score_1442,killed_11,score_11
11,172,69.0763,64,25.7028
13,170,68.2731,65,26.1044
9,161,64.6586,55,22.0884
11,164,65.8635,64,25.7028
9,169,67.8715,63,25.3012
9,168,67.4699,60,24.0964
8,163,65.4619,63,25.3012
10,161,64.6586,59,23.6948
13,162,65.0602,63,25.3012
13,167,67.0683,64,25.7028
13,170,68.2731,57,22.8916
10,166,66.6667,64,25.7028
14,164,65.8635,62,24.8996
13,172,69.0763,65,26.1044
16,171,68.6747,59,23.6948
14,158,63.4538,61,24.498
11,168,67.4699,61,24.498
11,165,66.2651,63,25.3012
12,169,67.8715,60,24.0964
10,170,68.2731,61,24.498
12,169,67.8715,60,24.0964
12,166,66.6667,64,25.7028
12,164,65.8635,58,23.2932
13,172,69.0763,59,23.6948
15,167,67.0683,59,23.6948
15,159,63.8554,61,24.498
10,171,68.6747,60,24.0964
9,168,67.4699,61,24.498
16,167,67.0683,61,24.498
11,170,68.2731,62,24.8996
10,164,65.8635,61,24.498
11,164,65.8635,61,24.498
10,171,68.6747,63,25.3012
10,166,66.6667,61,24.498
12,162,65.0602,62,24.8996
7,167,67.0683,62,24.8996
10,162,65.0602,59,23.6948
12,166,66.6667,60,24.0964
10,168,67.4699,61,24.498
9,170,68.2731,60,24.0964
