suite_size,killed_1442,score_1442,killed_11,score_11
4,146,58.6345,41,16.4659
5,149,59.8394,49,19.6787
3,152,61.0442,51,20.4819
3,146,58.6345,50,20.0803
4,141,56.6265,54,21.6867
5,147,59.0361,49,19.6787
3,152,61.0442,51,20.4819
6,138,55.4217,48,19.2771
3,150,60.241,48,19.2771
4,155,62.249,57,22.8916
6,144,57.8313,57,22.8916
5,150,60.241,49,19.6787
5,147,59.0361,40,16.0643
1,136,54.6185,50,20.0803
5,152,61.0442,42,16.8675
4,150,60.241,48,19.2771
2,145,58.2329,50,20.0803
3,143,57.4297,44,17.6707
4,151,60.6426,51,20.4819
5,142,57.0281,45,18.0723
4,149,59.8394,49,19.6787
3,157,63.0522,56,22.49
4,146,58.6345,48,19.2771
3,149,59.8394,50,20.0803
5,154,61.8474,51,20.4819
2,147,59.0361,47,18.8755
1,136,54.6185,50,20.0803
3,139,55.8233,40,16.0643
4,145,58.2329,40,16.0643
6,142,57.0281,46,18.4739
8,151,60.6426,49,19.6787
4,150,60.241,54,21.6867
6,157,63.0522,56,22.49
3,140,56.2249,52,20.8835
2,142,57.0281,48,19.2771
6,156,62.6506,47,18.8755
3,146,58.6345,48,19.2771
4,152,61.0442,55,22.0884
4,147,59.0361,49,19.6787
1,144,57.8313,46,18.4739
