suite_size,killed_1442,score_1442,killed_11,score_11
15,168,67.4699,59,23.6948
11,175,70.2811,61,24.498
13,168,67.4699,64,25.7028
12,164,65.8635,58,23.2932
13,172,69.0763,64,25.7028
9,166,66.6667,62,24.8996
14,171,68.6747,60,24.0964
8,170,68.2731,59,23.6948
13,169,67.8715,66,26.506
12,170,68.2731,60,24.0964
13,166,66.6667,57,22.8916
12,166,66.6667,60,24.0964
15,168,67.4699,63,25.3012
15,167,67.0683,65,26.1044
10,166,66.6667,62,24.8996
18,172,69.0763,63,25.3012
14,164,65.8635,64,25.7028
11,169,67.8715,60,24.0964
12,165,66.2651,63,25.3012
12,164,65.8635,59,23.6948
13,167,67.0683,60,24.0964
9,169,67.8715,64,25.7028
12,169,67.8715,58,23.2932
13,165,66.2651,63,25.3012
11,161,64.6586,60,24.0964
8,169,67.8715,59,23.6948
12,166,66.6667,57,22.8916
11,171,68.6747,63,25.3012
10,167,67.0683,60,24.0964
14,171,68.6747,63,25.3012
8,167,67.0683,62,24.8996
12,167,67.0683,62,24.8996
12,169,67.8715,59,23.6948
11,165,66.2651,65,26.1044
13,171,68.6747,64,25.7028
8,160,64.257,59,23.6948
9,163,65.4619,60,24.0964
9,166,66.6667,62,24.8996
14,162,65.0602,60,24.0964
8,163,65.4619,61,24.498
