criterion,suite_size,score_1442,score_11,obc,killed_1442,killed_11
mcdc,38.02,63.36,20.77,,157.78,51.72
obc_o0_J,14.45,67.4,24.76,97.76,167.82,61.65
obc_o0_JSMB,23.68,69.09,25.3,88.14,172.02,63.0
obc_o1_J,4.42,59.1,20.08,79.87,147.15,50.0
obc_o1_JSMB,14.65,67.57,24.58,37.7,168.25,61.2
obc_o2_J,3.75,58.86,18.89,67.05,146.55,47.02
obc_o2_JSMB,11.4,66.9,24.58,34.32,166.58,61.2
obc_o3_J,3.68,59.32,19.89,67.05,147.7,49.52
obc_o3_JSMB,11.35,66.91,24.58,34.32,166.6,61.2
obc_os_J,3.9,59.09,19.63,78.41,147.12,48.88
obc_os_JSMB,11.72,67.15,24.6,51.07,167.2,61.25
