suite_size,killed_1442,score_1442,killed_11,score_11
39,140,56.2249,49,19.6787
44,168,67.4699,59,23.6948
44,164,65.8635,57,22.8916
39,162,65.0602,52,20.8835
42,149,59.8394,44,17.6707
37,158,63.4538,52,20.8835
37,156,62.6506,51,20.4819
34,157,63.0522,54,21.6867
38,139,55.8233,37,14.8594
39,153,61.4458,43,17.2691
40,162,65.0602,62,24.8996
39,150,60.241,49,19.6787
40,160,64.257,55,22.0884
44,163,65.4619,57,22.8916
37,157,63.0522,50,20.0803
37,160,64.257,57,22.8916
40,161,64.6586,53,21.2851
39,159,63.8554,52,20.8835
39,158,63.4538,47,18.8755
40,167,67.0683,58,23.2932
43,159,63.8554,53,21.2851
38,159,63.8554,57,22.8916
36,162,65.0602,51,20.4819
37,167,67.0683,58,23.2932
42,158,63.4538,54,21.6867
34,159,63.8554,55,22.0884
40,156,62.6506,53,21.2851
35,159,63.8554,54,21.6867
40,165,66.2651,58,23.2932
38,166,66.6667,58,23.2932
35,141,56.6265,36,14.4578
33,165,66.2651,49,19.6787
37,159,63.8554,56,22.49
44,162,65.0602,49,19.6787
36,160,64.257,50,20.0803
35,160,64.257,55,22.0884
39,163,65.4619,57,22.8916
39,156,62.6506,51,20.4819
38,140,56.2249,35,14.0562
35,154,61.8474,50,20.0803
