suite_size,killed_1442,score_1442,killed_11,score_11
23,168,67.4699,63,25.3012
25,174,69.8795,62,24.8996
19,170,68.2731,60,24.0964
21,170,68.2731,65,26.1044
24,170,68.2731,63,25.3012
21,170,68.2731,60,24.0964
25,167,67.0683,61,24.498
23,174,69.8795,66,26.506
24,174,69.8795,62,24.8996
18,173,69.4779,63,25.3012
25,170,68.2731,64,25.7028
29,176,70.6827,65,26.1044
24,172,69.0763,65,26.1044
27,175,70.2811,66,26.506
31,171,68.6747,64,25.7028
24,173,69.4779,66,26.506
20,172,69.0763,60,24.0964
25,176,70.6827,61,24.498
24,172,69.0763,67,26.9076
21,176,70.6827,62,24.8996
28,170,68.2731,63,25.3012
22,172,69.0763,65,26.1044
23,171,68.6747,64,25.7028
24,177,71.0843,64,25.7028
24,175,70.2811,60,24.0964
26,171,68.6747,68,27.3092
24,171,68.6747,60,24.0964
20,171,68.6747,65,26.1044
21,171,68.6747,58,23.2932
24,172,69.0763,62,24.8996
21,174,69.8795,58,23.2932
23,171,68.6747,64,25.7028
23,174,69.8795,61,24.498
22,169,67.8715,66,26.506
21,170,68.2731,61,24.498
22,176,70.6827,62,24.8996
18,171,68.6747,65,26.1044
27,173,69.4779,65,26.1044
30,171,68.6747,60,24.0964
21,176,70.6827,64,25.7028
