suite_size,killed_1442,score_1442,killed_11,score_11
11,163,65.4619,61,24.498
12,164,65.8635,62,24.8996
11,161,64.6586,61,24.498
10,153,61.4458,58,23.2932
8,160,64.257,61,24.498
12,158,63.4538,59,23.6948
10,162,65.0602,58,23.2932
10,160,64.257,56,22.49
10,152,61.0442,53,21.2851
11,163,65.4619,61,24.498
5,152,61.0442,58,23.2932
8,159,63.8554,57,22.8916
12,165,66.2651,63,25.3012
7,161,64.6586,60,24.0964
10,163,65.4619,58,23.2932
8,159,63.8554,56,22.49
8,157,63.0522,54,21.6867
11,162,65.0602,62,24.8996
11,155,62.249,58,23.2932
15,162,65.0602,62,24.8996
9,161,64.6586,64,25.7028
9,159,63.8554,62,24.8996
7,161,64.6586,56,22.49
7,158,63.4538,60,24.0964
10,157,63.0522,59,23.6948
11,159,63.8554,59,23.6948
9,165,66.2651,57,22.8916
11,156,62.6506,60,24.0964
9,162,65.0602,61,24.498
11,154,61.8474,56,22.49
10,173,69.4779,64,25.7028
10,162,65.0602,61,24.498
12,159,63.8554,56,22.49
12,161,64.6586,63,25.3012
14,161,64.6586,61,24.498
9,163,65.4619,61,24.498
9,162,65.0602,60,24.0964
8,157,63.0522,59,23.6948
8,157,63.0522,61,24.498
10,155,62.249,61,24.498
