suite_size,killed_1442,score_1442,killed_11,score_11
8,164,65.8635,61,24.498
12,159,63.8554,60,24.0964
6,160,64.257,56,22.49
9,159,63.8554,60,24.0964
14,161,64.6586,61,24.498
9,154,61.8474,57,22.8916
6,162,65.0602,56,22.49
10,172,69.0763,59,23.6948
14,160,64.257,57,22.8916
9,164,65.8635,60,24.0964
10,164,65.8635,58,23.2932
13,156,62.6506,59,23.6948
7,163,65.4619,60,24.0964
11,161,64.6586,58,23.2932
10,155,62.249,60,24.0964
11,161,64.6586,60,24.0964
12,160,64.257,60,24.0964
10,163,65.4619,55,22.0884
12,155,62.249,59,23.6948
10,161,64.6586,59,23.6948
13,164,65.8635,58,23.2932
13,160,64.257,59,23.6948
11,169,67.8715,58,23.2932
11,160,64.257,61,24.498
12,166,66.6667,60,24.0964
10,155,62.249,52,20.8835
11,156,62.6506,59,23.6948
10,164,65.8635,63,25.3012
9,165,66.2651,59,23.6948
14,168,67.4699,60,24.0964
10,165,66.2651,60,24.0964
9,152,61.0442,52,20.8835
12,158,63.4538,60,24.0964
11,161,64.6586,60,24.0964
11,162,65.0602,56,22.49
10,158,63.4538,61,24.498
15,160,64.257,61,24.498
10,160,64.257,61,24.498
13,163,65.4619,61,24.498
11,161,64.6586,61,24.498
