suite_size,killed_1442,score_1442,killed_11,score_11
12,171,68.6747,63,25.3012
11,167,67.0683,60,24.0964
16,164,65.8635,64,25.7028
13,163,65.4619,58,23.2932
10,159,63.8554,58,23.2932
11,164,65.8635,61,24.498
13,165,66.2651,63,25.3012
12,168,67.4699,63,25.3012
12,170,68.2731,63,25.3012
15,170,68.2731,60,24.0964
10,159,63.8554,59,23.6948
11,167,67.0683,58,23.2932
11,166,66.6667,64,25.7028
12,165,66.2651,63,25.3012
13,168,67.4699,59,23.6948
14,169,67.8715,57,22.8916
14,168,67.4699,59,23.6948
15,167,67.0683,64,25.7028
14,169,67.8715,63,25.3012
13,171,68.6747,59,23.6948
14,165,66.2651,61,24.498
12,166,66.6667,58,23.2932
14,165,66.2651,55,22.0884
9,163,65.4619,61,24.498
15,167,67.0683,58,23.2932
12,174,69.8795,63,25.3012
15,164,65.8635,59,23.6948
14,164,65.8635,61,24.498
14,164,65.8635,55,22.0884
12,168,67.4699,63,25.3012
11,157,63.0522,61,24.498
14,169,67.8715,65,26.1044
13,163,65.4619,60,24.0964
12,165,66.2651,58,23.2932
14,166,66.6667,55,22.0884
15,168,67.4699,64,25.7028
15,164,65.8635,58,23.2932
7,165,66.2651,62,24.8996
12,163,65.4619,61,24.498
14,172,69.0763,66,26.506
