criterion,suite_size,score_1442,score_11,obc,killed_1442,killed_11
mcdc,38.55,63.38,20.85,,157.82,51.92
obc_o0_J,23.45,68.9,25.18,96.75,171.55,62.7
obc_o0_JSMB,23.42,69.17,25.3,88.12,172.22,63.0
obc_o1_J,5.98,64.45,23.31,3.72,160.48,58.05
obc_o1_JSMB,9.43,66.31,24.33,17.56,165.1,60.58
obc_o2_J,9.88,64.19,23.89,23.27,159.82,59.48
obc_o2_JSMB,14.9,66.66,24.45,28.29,165.98,60.88
obc_o3_J,9.12,62.99,22.28,22.88,156.85,55.48
obc_o3_JSMB,14.8,67.11,24.54,28.25,167.1,61.1
obc_os_J,10.72,64.67,23.66,24.29,161.02,58.92
obc_os_JSMB,12.75,66.69,24.32,31.79,166.05,60.55
