suite_size,killed_892,score_892,killed_5,score_5
31,176,70.4,35,14
31,181,72.4,38,15.2
29,191,76.4,41,16.4
28,187,74.8,37,14.8
28,185,74,48,19.2
27,199,79.6,46,18.4
28,189,75.6,40,16
27,179,71.6,33,13.2
27,185,74,41,16.4
25,178,71.2,37,14.8
27,179,71.6,38,15.2
26,183,73.2,41,16.4
26,169,67.6,31,12.4
30,181,72.4,42,16.8
27,190,76,42,16.8
30,191,76.4,46,18.4
31,194,77.6,37,14.8
29,192,76.8,34,13.6
27,175,70,34,13.6
27,184,73.6,45,18
27,175,70,31,12.4
29,190,76,43,17.2
27,195,78,43,17.2
33,186,74.4,40,16
33,194,77.6,38,15.2
26,173,69.2,31,12.4
28,182,72.8,37,14.8
29,195,78,35,14
32,187,74.8,38,15.2
22,178,71.2,38,15.2
27,189,75.6,42,16.8
30,203,81.2,45,18
26,177,70.8,33,13.2
24,187,74.8,40,16
31,193,77.2,39,15.6
32,186,74.4,34,13.6
27,193,77.2,46,18.4
24,180,72,35,14
27,181,72.4,32,12.8
31,188,75.2,42,16.8
