suite_size,killed_892,score_892,killed_5,score_5
11,182,72.8,42,16.8
11,183,73.2,48,19.2
12,170,68,40,16
10,174,69.6,44,17.6
13,187,74.8,41,16.4
11,180,72,46,18.4
11,180,72,34,13.6
12,180,72,44,17.6
10,163,65.2,36,14.4
10,187,74.8,49,19.6
12,181,72.4,41,16.4
12,171,68.4,48,19.2
10,177,70.8,36,14.4
8,176,70.4,38,15.2
13,184,73.6,44,17.6
8,161,64.4,33,13.2
9,156,62.4,36,14.4
11,180,72,43,17.2
14,178,71.2,31,12.4
15,174,69.6,40,16
12,169,67.6,35,14
12,183,73.2,31,12.4
13,189,75.6,44,17.6
10,180,72,43,17.2
11,182,72.8,38,15.2
14,177,70.8,34,13.6
13,173,69.2,39,15.6
12,176,70.4,46,18.4
15,190,76,45,18
10,172,68.8,40,16
12,174,69.6,43,17.2
10,161,64.4,36,14.4
11,182,72.8,42,16.8
12,186,74.4,43,17.2
12,177,70.8,39,15.6
10,172,68.8,31,12.4
13,179,71.6,44,17.6
10,166,66.4,36,14.4
10,177,70.8,45,18
15,182,72.8,48,19.2
