suite_size,killed_892,score_892,killed_5,score_5
17,182,72.8,35,14
13,181,72.4,39,15.6
14,177,70.8,32,12.8
15,189,75.6,49,19.6
14,193,77.2,45,18
14,194,77.6,45,18
15,180,72,50,20
14,177,70.8,34,13.6
16,177,70.8,43,17.2
14,178,71.2,45,18
15,173,69.2,43,17.2
20,182,72.8,35,14
18,185,74,40,16
18,178,71.2,45,18
18,188,75.2,42,16.8
15,193,77.2,51,20.4
16,176,70.4,47,18.8
16,174,69.6,36,14.4
15,193,77.2,44,17.6
18,190,76,41,16.4
13,176,70.4,41,16.4
15,182,72.8,36,14.4
14,183,73.2,39,15.6
15,191,76.4,44,17.6
12,185,74,44,17.6
11,167,66.8,37,14.8
14,188,75.2,50,20
18,186,74.4,39,15.6
17,189,75.6,45,18
12,175,70,41,16.4
16,182,72.8,49,19.6
18,192,76.8,46,18.4
17,194,77.6,48,19.2
15,175,70,35,14
21,185,74,46,18.4
17,185,74,33,13.2
17,180,72,42,16.8
14,167,66.8,34,13.6
11,175,70,42,16.8
16,192,76.8,46,18.4
