suite_size,killed_892,score_892,killed_5,score_5
11,167,66.8,38,15.2
15,179,71.6,33,13.2
9,177,70.8,33,13.2
11,179,71.6,42,16.8
9,180,72,45,18
16,178,71.2,45,18
13,179,71.6,43,17.2
16,183,73.2,38,15.2
8,181,72.4,48,19.2
10,163,65.2,40,16
11,162,64.8,34,13.6
10,181,72.4,43,17.2
12,174,69.6,41,16.4
14,170,68,38,15.2
12,184,73.6,44,17.6
10,183,73.2,45,18
13,180,72,33,13.2
13,180,72,46,18.4
11,174,69.6,38,15.2
11,177,70.8,34,13.6
9,170,68,38,15.2
11,180,72,44,17.6
12,175,70,47,18.8
13,179,71.6,42,16.8
10,162,64.8,38,15.2
10,179,71.6,40,16
11,177,70.8,45,18
12,172,68.8,46,18.4
14,176,70.4,38,15.2
9,170,68,39,15.6
16,170,68,39,15.6
13,177,70.8,45,18
8,168,67.2,31,12.4
11,174,69.6,39,15.6
12,184,73.6,44,17.6
15,180,72,44,17.6
9,173,69.2,40,16
14,185,74,45,18
7,153,61.2,33,13.2
10,171,68.4,45,18
