suite_size,killed_892,score_892,killed_5,score_5
16,189,75.6,40,16
16,179,71.6,44,17.6
10,181,72.4,44,17.6
14,186,74.4,48,19.2
12,191,76.4,50,20
13,187,74.8,42,16.8
16,185,74,48,19.2
13,178,71.2,40,16
15,177,70.8,37,14.8
17,174,69.6,42,16.8
15,189,75.6,50,20
15,180,72,40,16
15,172,68.8,35,14
16,185,74,47,18.8
16,177,70.8,39,15.6
13,178,71.2,40,16
15,180,72,44,17.6
11,175,70,47,18.8
14,181,72.4,42,16.8
15,174,69.6,38,15.2
16,174,69.6,43,17.2
16,191,76.4,39,15.6
12,164,65.6,36,14.4
16,179,71.6,33,13.2
15,183,73.2,45,18
15,190,76,41,16.4
13,181,72.4,40,16
15,182,72.8,49,19.6
14,178,71.2,43,17.2
13,187,74.8,33,13.2
19,191,76.4,49,19.6
19,187,74.8,48,19.2
17,172,68.8,42,16.8
16,184,73.6,42,16.8
12,180,72,35,14
16,190,76,36,14.4
19,191,76.4,44,17.6
14,166,66.4,38,15.2
12,185,74,43,17.2
17,180,72,37,14.8
