criterion,suite_size,score_892,score_5,obc,killed_892,killed_5
mcdc,28.15,74.2,15.48,,185.5,38.7
obc_o0_J,11.0,70.15,16.3,99.71,175.38,40.75
obc_o0_JSMB,14.4,73.17,16.8,91.92,182.92,42.0
obc_o1_J,11.5,70.71,16.16,96.17,176.78,40.4
obc_o1_JSMB,14.0,72.88,17.15,88.34,182.2,42.88
obc_o2_J,10.95,70.24,16.32,96.17,175.6,40.8
obc_o2_JSMB,15.0,72.83,16.88,88.34,182.08,42.2
obc_o3_J,10.68,70.1,16.02,96.17,175.25,40.05
obc_o3_JSMB,15.45,73.09,16.78,88.34,182.72,41.95
obc_os_J,11.52,70.06,16.23,96.17,175.15,40.58
obc_os_JSMB,14.82,72.53,16.73,88.34,181.32,41.82
