suite_size,killed_892,score_892,killed_5,score_5
27,180,72,33,13.2
24,189,75.6,34,13.6
29,190,76,45,18
23,174,69.6,34,13.6
29,192,76.8,40,16
27,205,82,46,18.4
29,192,76.8,42,16.8
23,186,74.4,35,14
25,184,73.6,32,12.8
29,176,70.4,33,13.2
25,180,72,34,13.6
32,194,77.6,44,17.6
22,179,71.6,35,14
33,195,78,42,16.8
27,189,75.6,43,17.2
24,180,72,31,12.4
28,184,73.6,42,16.8
31,180,72,34,13.6
28,191,76.4,34,13.6
30,174,69.6,33,13.2
28,178,71.2,33,13.2
24,198,79.2,37,14.8
28,182,72.8,38,15.2
32,188,75.2,40,16
29,182,72.8,42,16.8
29,198,79.2,40,16
25,189,75.6,42,16.8
32,195,78,38,15.2
32,184,73.6,43,17.2
29,182,72.8,40,16
26,182,72.8,42,16.8
34,202,80.8,49,19.6
24,178,71.2,35,14
27,184,73.6,39,15.6
31,186,74.4,34,13.6
25,187,74.8,34,13.6
32,181,72.4,33,13.2
23,198,79.2,43,17.2
28,195,78,43,17.2
30,197,78.8,42,16.8
