suite_size,killed_892,score_892,killed_5,score_5
7,155,62,34,13.6
6,162,64.8,40,16
7,180,72,38,15.2
4,164,65.6,37,14.8
4,160,64,37,14.8
6,159,63.6,30,12
5,162,64.8,34,13.6
6,154,61.6,37,14.8
3,142,56.8,29,11.6
4,162,64.8,24,9.6
6,166,66.4,41,16.4
4,157,62.8,40,16
3,154,61.6,35,14
7,157,62.8,40,16
7,156,62.4,26,10.4
3,136,54.4,23,9.2
3,126,50.4,27,10.8
4,139,55.6,30,12
3,157,62.8,37,14.8
4,159,63.6,38,15.2
8,153,61.2,38,15.2
4,154,61.6,25,10
4,137,54.8,24,9.6
7,160,64,31,12.4
4,136,54.4,26,10.4
3,158,63.2,39,15.6
5,148,59.2,34,13.6
4,157,62.8,42,16.8
6,161,64.4,37,14.8
3,143,57.2,30,12
4,148,59.2,25,10
4,155,62,39,15.6
6,156,62.4,36,14.4
5,143,57.2,29,11.6
3,154,61.6,37,14.8
4,151,60.4,36,14.4
5,164,65.6,28,11.2
6,156,62.4,27,10.8
5,149,59.6,38,15.2
5,165,66,42,16.8
