suite_size,killed_892,score_892,killed_5,score_5
10,175,70,46,18.4
10,177,70.8,47,18.8
12,168,67.2,26,10.4
10,180,72,41,16.4
11,175,70,31,12.4
14,185,74,39,15.6
12,175,70,37,14.8
9,169,67.6,43,17.2
10,179,71.6,42,16.8
11,178,71.2,45,18
14,176,70.4,41,16.4
13,182,72.8,39,15.6
11,180,72,39,15.6
11,181,72.4,42,16.8
11,170,68,34,13.6
13,177,70.8,42,16.8
15,170,68,41,16.4
12,179,71.6,47,18.8
12,191,76.4,45,18
10,170,68,37,14.8
10,167,66.8,30,12
12,182,72.8,41,16.4
14,182,72.8,41,16.4
13,174,69.6,34,13.6
11,176,70.4,41,16.4
13,180,72,34,13.6
15,187,74.8,46,18.4
8,176,70.4,30,12
13,180,72,43,17.2
10,180,72,41,16.4
12,175,70,44,17.6
11,191,76.4,48,19.2
10,180,72,46,18.4
11,175,70,43,17.2
12,168,67.2,34,13.6
11,173,69.2,33,13.2
13,176,70.4,35,14
11,180,72,42,16.8
10,179,71.6,28,11.2
13,181,72.4,39,15.6
