suite_size,killed_892,score_892,killed_5,score_5
6,163,65.2,36,14.4
7,146,58.4,26,10.4
3,153,61.2,35,14
7,141,56.4,30,12
5,142,56.8,34,13.6
4,136,54.4,32,12.8
5,141,56.4,34,13.6
5,164,65.6,38,15.2
4,152,60.8,27,10.8
5,154,61.6,25,10
5,154,61.6,34,13.6
4,149,59.6,36,14.4
6,150,60,37,14.8
5,163,65.2,36,14.4
5,160,64,36,14.4
4,134,53.6,25,10
5,136,54.4,30,12
4,152,60.8,34,13.6
6,163,65.2,28,11.2
5,144,57.6,32,12.8
5,130,52,27,10.8
5,153,61.2,27,10.8
4,147,58.8,27,10.8
7,155,62,27,10.8
4,159,63.6,32,12.8
5,144,57.6,25,10
7,165,66,44,17.6
4,134,53.6,24,9.6
6,161,64.4,28,11.2
5,164,65.6,27,10.8
5,149,59.6,35,14
6,145,58,26,10.4
5,152,60.8,33,13.2
4,147,58.8,28,11.2
4,159,63.6,36,14.4
5,156,62.4,29,11.6
5,156,62.4,37,14.8
6,144,57.6,28,11.2
5,151,60.4,38,15.2
5,138,55.2,28,11.2
