suite_size,killed_892,score_892,killed_5,score_5
10,187,74.8,45,18
12,174,69.6,34,13.6
14,188,75.2,41,16.4
12,181,72.4,45,18
11,174,69.6,38,15.2
15,178,71.2,41,16.4
10,165,66,34,13.6
9,167,66.8,26,10.4
16,187,74.8,41,16.4
10,177,70.8,45,18
13,168,67.2,35,14
13,189,75.6,44,17.6
9,179,71.6,30,12
17,175,70,37,14.8
15,177,70.8,38,15.2
14,194,77.6,40,16
13,180,72,41,16.4
10,168,67.2,30,12
14,170,68,34,13.6
13,180,72,36,14.4
9,185,74,39,15.6
8,163,65.2,25,10
12,172,68.8,43,17.2
14,197,78.8,46,18.4
11,188,75.2,46,18.4
16,183,73.2,47,18.8
10,182,72.8,38,15.2
14,187,74.8,49,19.6
12,202,80.8,46,18.4
14,168,67.2,37,14.8
13,192,76.8,48,19.2
13,175,70,48,19.2
17,191,76.4,49,19.6
13,196,78.4,48,19.2
16,175,70,41,16.4
9,181,72.4,44,17.6
14,186,74.4,49,19.6
11,169,67.6,39,15.6
15,188,75.2,44,17.6
8,174,69.6,35,14
