criterion,suite_size,score_892,score_5,obc,killed_892,killed_5
mcdc,27.82,74.8,15.33,,187.0,38.33
obc_o0_J,11.22,70.31,16.45,99.71,175.78,41.12
obc_o0_JSMB,14.5,73.12,16.41,92.88,182.8,41.02
obc_o1_J,4.78,61.55,13.4,80.56,153.88,33.5
obc_o1_JSMB,9.93,70.46,15.87,55.58,176.15,39.67
obc_o2_J,5.28,62.08,13.03,80.0,155.2,32.58
obc_o2_JSMB,11.9,71.6,16.61,60.04,179.0,41.52
obc_o3_J,5.0,61.11,13.1,80.0,152.78,32.75
obc_o3_JSMB,11.6,70.99,15.77,60.04,177.48,39.42
obc_os_J,5.05,60.06,12.51,80.0,150.15,31.28
obc_os_JSMB,12.48,72.12,16.16,67.52,180.3,40.4
