suite_size,killed_892,score_892,killed_5,score_5
26,187,74.8,37,14.8
33,198,79.2,41,16.4
24,183,73.2,42,16.8
29,189,75.6,43,17.2
26,191,76.4,44,17.6
27,185,74,36,14.4
35,180,72,37,14.8
34,200,80,45,18
23,192,76.8,41,16.4
25,188,75.2,40,16
32,199,79.6,42,16.8
29,197,78.8,45,18
32,196,78.4,46,18.4
30,194,77.6,41,16.4
28,181,72.4,33,13.2
29,180,72,40,16
28,180,72,38,15.2
30,199,79.6,45,18
31,184,73.6,33,13.2
32,185,74,42,16.8
27,187,74.8,37,14.8
27,193,77.2,41,16.4
23,185,74,32,12.8
29,198,79.2,47,18.8
22,178,71.2,28,11.2
29,199,79.6,44,17.6
30,192,76.8,42,16.8
30,179,71.6,41,16.4
30,192,76.8,47,18.8
29,190,76,33,13.2
29,182,72.8,40,16
30,182,72.8,32,12.8
26,190,76,42,16.8
30,187,74.8,42,16.8
28,204,81.6,45,18
29,182,72.8,33,13.2
28,192,76.8,35,14
28,184,73.6,36,14.4
28,173,69.2,39,15.6
31,186,74.4,43,17.2
