suite_size,killed_892,score_892,killed_5,score_5
6,168,67.2,33,13.2
5,162,64.8,36,14.4
7,167,66.8,37,14.8
3,135,54,24,9.6
6,164,65.6,35,14
5,164,65.6,29,11.6
5,170,68,32,12.8
7,176,70.4,42,16.8
5,174,69.6,37,14.8
5,150,60,30,12
5,152,60.8,26,10.4
5,174,69.6,38,15.2
9,157,62.8,40,16
7,151,60.4,35,14
6,154,61.6,23,9.2
6,156,62.4,25,10
5,165,66,41,16.4
8,152,60.8,28,11.2
8,163,65.2,39,15.6
7,165,66,33,13.2
6,170,68,37,14.8
7,166,66.4,34,13.6
7,158,63.2,28,11.2
6,170,68,27,10.8
7,177,70.8,41,16.4
4,151,60.4,25,10
7,155,62,32,12.8
8,170,68,29,11.6
4,160,64,38,15.2
7,171,68.4,37,14.8
6,162,64.8,27,10.8
5,155,62,25,10
7,165,66,32,12.8
6,164,65.6,31,12.4
4,149,59.6,28,11.2
5,160,64,35,14
5,165,66,29,11.6
6,154,61.6,35,14
7,160,64,30,12
5,154,61.6,24,9.6
