suite_size,killed_892,score_892,killed_5,score_5
12,171,68.4,41,16.4
10,182,72.8,47,18.8
12,188,75.2,38,15.2
9,178,71.2,40,16
13,173,69.2,33,13.2
11,177,70.8,37,14.8
11,173,69.2,37,14.8
12,185,74,43,17.2
8,177,70.8,41,16.4
13,179,71.6,41,16.4
12,172,68.8,39,15.6
11,177,70.8,38,15.2
10,177,70.8,34,13.6
9,172,68.8,41,16.4
12,187,74.8,44,17.6
12,171,68.4,42,16.8
11,178,71.2,36,14.4
10,185,74,41,16.4
9,175,70,41,16.4
10,170,68,33,13.2
8,183,73.2,48,19.2
7,166,66.4,33,13.2
9,164,65.6,35,14
9,164,65.6,27,10.8
9,163,65.2,38,15.2
10,172,68.8,45,18
9,166,66.4,31,12.4
13,166,66.4,41,16.4
9,171,68.4,38,15.2
11,176,70.4,39,15.6
8,180,72,47,18.8
10,193,77.2,49,19.6
9,171,68.4,35,14
11,173,69.2,40,16
11,167,66.8,41,16.4
14,187,74.8,42,16.8
10,179,71.6,38,15.2
9,180,72,44,17.6
11,170,68,38,15.2
11,179,71.6,39,15.6
