suite_size,killed_892,score_892,killed_5,score_5
7,166,66.4,41,16.4
4,149,59.6,24,9.6
7,151,60.4,34,13.6
9,149,59.6,29,11.6
7,151,60.4,28,11.2
7,151,60.4,27,10.8
6,145,58,34,13.6
5,161,64.4,34,13.6
6,157,62.8,27,10.8
6,145,58,36,14.4
9,154,61.6,33,13.2
7,148,59.2,22,8.8
4,145,58,24,9.6
8,160,64,38,15.2
6,153,61.2,32,12.8
7,146,58.4,24,9.6
8,158,63.2,35,14
6,145,58,30,12
6,158,63.2,39,15.6
6,158,63.2,40,16
6,156,62.4,34,13.6
5,139,55.6,28,11.2
7,159,63.6,26,10.4
7,160,64,29,11.6
8,162,64.8,40,16
6,177,70.8,39,15.6
5,144,57.6,27,10.8
5,148,59.2,35,14
5,147,58.8,30,12
7,157,62.8,34,13.6
8,170,68,38,15.2
7,161,64.4,29,11.6
8,159,63.6,28,11.2
5,162,64.8,39,15.6
7,155,62,36,14.4
5,157,62.8,37,14.8
8,145,58,33,13.2
6,156,62.4,31,12.4
6,145,58,30,12
7,150,60,25,10
