suite_size,killed_892,score_892,killed_5,score_5
7,167,66.8,29,11.6
8,163,65.2,37,14.8
7,152,60.8,33,13.2
7,170,68,42,16.8
7,167,66.8,40,16
9,164,65.6,31,12.4
6,167,66.8,41,16.4
9,159,63.6,42,16.8
5,156,62.4,28,11.2
12,151,60.4,25,10
9,156,62.4,37,14.8
9,153,61.2,27,10.8
10,172,68.8,37,14.8
9,146,58.4,30,12
9,162,64.8,27,10.8
9,165,66,35,14
12,153,61.2,34,13.6
7,164,65.6,37,14.8
10,162,64.8,37,14.8
8,174,69.6,35,14
7,158,63.2,31,12.4
7,162,64.8,39,15.6
6,149,59.6,28,11.2
9,145,58,30,12
8,161,64.4,40,16
7,163,65.2,41,16.4
7,149,59.6,30,12
5,153,61.2,37,14.8
9,170,68,36,14.4
8,151,60.4,26,10.4
5,160,64,33,13.2
7,164,65.6,41,16.4
8,173,69.2,43,17.2
9,169,67.6,34,13.6
7,166,66.4,36,14.4
7,167,66.8,40,16
11,173,69.2,34,13.6
7,177,70.8,45,18
6,148,59.2,25,10
10,174,69.6,46,18.4
