criterion,suite_size,score_892,score_5,obc,killed_892,killed_5
mcdc,28.65,75.43,15.9,,188.58,39.75
obc_o0_J,14.92,72.53,17.04,99.46,181.32,42.6
obc_o0_JSMB,15.25,73.75,17.14,92.66,184.38,42.85
obc_o1_J,5.55,58.29,11.46,17.13,145.72,28.65
obc_o1_JSMB,9.45,70.17,15.43,37.27,175.42,38.58
obc_o2_J,5.98,64.55,12.87,24.39,161.38,32.17
obc_o2_JSMB,10.02,70.8,15.8,47.34,177.0,39.5
obc_o3_J,6.02,63.77,12.65,26.52,159.43,31.62
obc_o3_JSMB,10.38,70.17,15.75,44.79,175.42,39.38
obc_os_J,6.48,61.59,12.79,29.02,153.98,31.98
obc_os_JSMB,7.98,64.55,13.99,49.15,161.38,34.98
