suite_size,killed_105,score_105,killed_11,score_11
32,176,70.4,152,60.8
29,178,71.2,152,60.8
34,165,66,134,53.6
31,176,70.4,149,59.6
32,178,71.2,153,61.2
33,179,71.6,152,60.8
28,166,66.4,137,54.8
30,174,69.6,147,58.8
27,190,76,164,65.6
31,180,72,150,60
29,172,68.8,143,57.2
26,171,68.4,145,58
27,184,73.6,157,62.8
27,180,72,151,60.4
27,181,72.4,156,62.4
31,184,73.6,157,62.8
31,192,76.8,166,66.4
29,184,73.6,155,62
32,179,71.6,154,61.6
34,184,73.6,159,63.6
29,181,72.4,155,62
32,175,70,150,60
30,189,75.6,164,65.6
30,190,76,165,66
31,179,71.6,151,60.4
31,179,71.6,155,62
31,183,73.2,159,63.6
28,183,73.2,156,62.4
31,179,71.6,155,62
33,191,76.4,165,66
29,178,71.2,153,61.2
31,186,74.4,159,63.6
29,181,72.4,156,62.4
28,178,71.2,150,60
34,193,77.2,168,67.2
32,179,71.6,155,62
32,180,72,157,62.8
31,179,71.6,154,61.6
32,183,73.2,154,61.6
28,172,68.8,143,57.2
