suite_size,killed_105,score_105,killed_11,score_11
10,159,63.6,134,53.6
11,176,70.4,152,60.8
8,165,66,139,55.6
9,162,64.8,138,55.2
4,148,59.2,124,49.6
8,162,64.8,136,54.4
6,159,63.6,133,53.2
6,164,65.6,140,56
7,163,65.2,139,55.6
5,159,63.6,133,53.2
8,178,71.2,153,61.2
9,165,66,141,56.4
9,173,69.2,149,59.6
4,145,58,118,47.2
5,161,64.4,136,54.4
7,167,66.8,142,56.8
8,175,70,150,60
6,157,62.8,132,52.8
10,170,68,143,57.2
8,156,62.4,131,52.4
6,170,68,144,57.6
6,160,64,136,54.4
8,160,64,135,54
7,158,63.2,134,53.6
5,159,63.6,135,54
8,160,64,133,53.2
7,159,63.6,134,53.6
8,173,69.2,147,58.8
6,151,60.4,127,50.8
6,172,68.8,147,58.8
4,156,62.4,130,52
7,170,68,146,58.4
8,158,63.2,132,52.8
8,153,61.2,129,51.6
10,164,65.6,139,55.6
4,156,62.4,131,52.4
7,154,61.6,130,52
8,164,65.6,139,55.6
7,160,64,136,54.4
4,148,59.2,122,48.8
