suite_size,killed_105,score_105,killed_11,score_11
5,162,64.8,135,54
5,143,57.2,116,46.4
4,152,60.8,126,50.4
6,143,57.2,118,47.2
6,152,60.8,125,50
8,170,68,144,57.6
4,152,60.8,126,50.4
7,158,63.2,134,53.6
7,171,68.4,143,57.2
5,152,60.8,125,50
5,163,65.2,138,55.2
5,172,68.8,144,57.6
5,170,68,142,56.8
6,150,60,123,49.2
3,158,63.2,130,52
4,154,61.6,127,50.8
6,158,63.2,131,52.4
4,158,63.2,132,52.8
5,147,58.8,120,48
5,155,62,129,51.6
4,147,58.8,120,48
4,154,61.6,127,50.8
5,167,66.8,141,56.4
5,153,61.2,128,51.2
4,145,58,118,47.2
4,168,67.2,141,56.4
3,147,58.8,120,48
5,145,58,118,47.2
5,154,61.6,127,50.8
3,169,67.6,142,56.8
5,142,56.8,114,45.6
3,150,60,123,49.2
6,161,64.4,134,53.6
7,166,66.4,138,55.2
4,167,66.8,141,56.4
4,145,58,120,48
5,146,58.4,121,48.4
5,149,59.6,122,48.8
4,154,61.6,126,50.4
4,169,67.6,142,56.8
