suite_size,killed_105,score_105,killed_11,score_11
6,158,63.2,130,52
6,166,66.4,137,54.8
8,157,62.8,129,51.6
6,166,66.4,141,56.4
12,154,61.6,130,52
4,150,60,122,48.8
4,152,60.8,125,50
6,154,61.6,129,51.6
4,144,57.6,116,46.4
4,150,60,124,49.6
5,161,64.4,137,54.8
6,155,62,132,52.8
5,149,59.6,121,48.4
4,156,62.4,126,50.4
5,153,61.2,127,50.8
2,132,52.8,105,42
5,163,65.2,135,54
9,156,62.4,132,52.8
5,145,58,117,46.8
4,162,64.8,135,54
3,146,58.4,121,48.4
9,173,69.2,147,58.8
8,175,70,147,58.8
8,160,64,135,54
7,154,61.6,127,50.8
5,156,62.4,131,52.4
7,165,66,138,55.2
6,163,65.2,134,53.6
3,160,64,130,52
7,162,64.8,137,54.8
4,149,59.6,122,48.8
5,157,62.8,130,52
5,154,61.6,129,51.6
4,147,58.8,118,47.2
2,140,56,112,44.8
6,159,63.6,133,53.2
6,165,66,138,55.2
5,158,63.2,131,52.4
6,152,60.8,126,50.4
6,155,62,129,51.6
