suite_size,killed_105,score_105,killed_11,score_11
9,158,63.2,133,53.2
6,163,65.2,137,54.8
12,163,65.2,140,56
10,167,66.8,143,57.2
4,165,66,141,56.4
5,158,63.2,134,53.6
8,169,67.6,144,57.6
5,164,65.6,139,55.6
10,175,70,151,60.4
6,155,62,130,52
8,153,61.2,129,51.6
6,178,71.2,153,61.2
6,166,66.4,141,56.4
7,154,61.6,130,52
11,167,66.8,141,56.4
6,163,65.2,138,55.2
11,165,66,139,55.6
4,150,60,124,49.6
7,169,67.6,143,57.2
5,156,62.4,130,52
10,169,67.6,145,58
8,165,66,141,56.4
9,165,66,141,56.4
11,166,66.4,141,56.4
6,159,63.6,131,52.4
5,149,59.6,124,49.6
7,163,65.2,139,55.6
5,155,62,128,51.2
5,148,59.2,123,49.2
5,149,59.6,125,50
8,154,61.6,130,52
7,159,63.6,134,53.6
4,157,62.8,132,52.8
10,178,71.2,152,60.8
4,169,67.6,143,57.2
7,155,62,131,52.4
7,160,64,134,53.6
7,161,64.4,136,54.4
9,167,66.8,139,55.6
5,170,68,144,57.6
