criterion,suite_size,score_11,score_105,obc,killed_11,killed_105
mcdc,30.3,61.57,72.11,,153.93,180.28
obc_o0_J,6.08,52.17,62.68,97.89,130.43,156.7
obc_o0_JSMB,7.3,55.15,65.16,85.28,137.88,162.9
obc_o1_J,5.05,52.48,63.2,86.06,131.2,158.0
obc_o1_JSMB,7.05,54.69,64.69,80.22,136.72,161.72
obc_o2_J,4.85,51.71,62.38,86.06,129.28,155.95
obc_o2_JSMB,7.35,54.56,64.79,80.22,136.4,161.98
obc_o3_J,5.3,50.64,61.44,86.06,126.6,153.6
obc_o3_JSMB,7.02,54.42,64.53,80.22,136.05,161.32
obc_os_J,5.55,51.65,62.33,87.27,129.12,155.82
obc_os_JSMB,7.12,54.73,64.76,80.65,136.82,161.9
