suite_size,killed_105,score_105,killed_11,score_11
27,176,70.4,148,59.2
26,186,74.4,157,62.8
29,175,70,150,60
30,176,70.4,151,60.4
27,176,70.4,149,59.6
29,176,70.4,149,59.6
29,179,71.6,153,61.2
29,171,68.4,143,57.2
29,174,69.6,145,58
28,176,70.4,152,60.8
30,178,71.2,152,60.8
30,180,72,154,61.6
32,180,72,155,62
25,173,69.2,148,59.2
30,187,74.8,163,65.2
31,175,70,146,58.4
29,181,72.4,154,61.6
30,185,74,157,62.8
35,192,76.8,164,65.6
32,174,69.6,145,58
30,166,66.4,137,54.8
30,187,74.8,162,64.8
32,184,73.6,155,62
28,177,70.8,150,60
29,192,76.8,166,66.4
35,179,71.6,150,60
35,177,70.8,149,59.6
27,174,69.6,150,60
31,172,68.8,143,57.2
31,172,68.8,147,58.8
25,181,72.4,153,61.2
30,182,72.8,157,62.8
31,173,69.2,144,57.6
29,185,74,156,62.4
29,173,69.2,148,59.2
30,190,76,165,66
26,182,72.8,156,62.4
27,183,73.2,158,63.2
29,175,70,146,58.4
31,188,75.2,162,64.8
