suite_size,killed_105,score_105,killed_11,score_11
9,174,69.6,148,59.2
12,185,74,159,63.6
9,176,70.4,151,60.4
15,176,70.4,150,60
10,175,70,149,59.6
12,177,70.8,152,60.8
16,174,69.6,148,59.2
14,183,73.2,157,62.8
11,171,68.4,144,57.6
13,184,73.6,159,63.6
16,175,70,149,59.6
10,171,68.4,145,58
10,166,66.4,140,56
10,188,75.2,161,64.4
14,183,73.2,155,62
7,174,69.6,147,58.8
11,175,70,149,59.6
9,177,70.8,150,60
9,176,70.4,151,60.4
11,179,71.6,153,61.2
12,186,74.4,160,64
10,170,68,144,57.6
14,181,72.4,156,62.4
16,180,72,154,61.6
15,186,74.4,159,63.6
11,184,73.6,157,62.8
12,173,69.2,147,58.8
12,179,71.6,152,60.8
15,184,73.6,159,63.6
9,181,72.4,154,61.6
12,172,68.8,146,58.4
9,171,68.4,145,58
13,171,68.4,145,58
14,176,70.4,150,60
9,175,70,150,60
11,177,70.8,149,59.6
11,177,70.8,151,60.4
15,190,76,164,65.6
13,182,72.8,155,62
11,174,69.6,149,59.6
