suite_size,killed_105,score_105,killed_11,score_11
9,177,70.8,151,60.4
13,172,68.8,146,58.4
13,177,70.8,152,60.8
14,180,72,155,62
13,175,70,148,59.2
9,175,70,149,59.6
12,181,72.4,155,62
9,175,70,148,59.2
18,182,72.8,156,62.4
17,181,72.4,155,62
15,189,75.6,161,64.4
13,173,69.2,146,58.4
10,178,71.2,153,61.2
12,176,70.4,149,59.6
13,179,71.6,153,61.2
9,178,71.2,150,60
13,172,68.8,146,58.4
12,186,74.4,160,64
12,174,69.6,147,58.8
14,182,72.8,156,62.4
9,167,66.8,141,56.4
15,183,73.2,157,62.8
12,185,74,158,63.2
10,173,69.2,147,58.8
12,180,72,153,61.2
9,177,70.8,150,60
9,176,70.4,150,60
14,177,70.8,150,60
17,182,72.8,157,62.8
12,179,71.6,153,61.2
17,180,72,153,61.2
10,174,69.6,148,59.2
14,175,70,149,59.6
9,167,66.8,140,56
13,178,71.2,152,60.8
14,171,68.4,144,57.6
8,168,67.2,141,56.4
12,185,74,159,63.6
12,184,73.6,159,63.6
11,180,72,155,62
