suite_size,killed_105,score_105,killed_11,score_11
10,178,71.2,151,60.4
11,177,70.8,150,60
10,175,70,150,60
10,182,72.8,157,62.8
14,179,71.6,154,61.6
13,181,72.4,156,62.4
8,174,69.6,144,57.6
16,178,71.2,153,61.2
14,186,74.4,161,64.4
12,179,71.6,151,60.4
12,181,72.4,154,61.6
16,187,74.8,161,64.4
12,170,68,141,56.4
9,173,69.2,146,58.4
14,179,71.6,154,61.6
9,181,72.4,154,61.6
14,181,72.4,154,61.6
14,178,71.2,151,60.4
12,177,70.8,151,60.4
13,182,72.8,156,62.4
12,177,70.8,150,60
13,170,68,144,57.6
10,185,74,159,63.6
9,170,68,144,57.6
14,179,71.6,154,61.6
12,177,70.8,150,60
14,186,74.4,158,63.2
12,175,70,149,59.6
11,177,70.8,151,60.4
10,183,73.2,156,62.4
11,174,69.6,146,58.4
12,175,70,149,59.6
14,176,70.4,149,59.6
16,178,71.2,150,60
12,179,71.6,152,60.8
9,176,70.4,148,59.2
11,178,71.2,152,60.8
13,178,71.2,152,60.8
15,184,73.6,158,63.2
13,173,69.2,147,58.8
